
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.5)

2025-11-19T17:56:48.667Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/EventDescriptionHistoryService.class]
2025-11-19T17:56:48.668Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/DemandService.class]
2025-11-19T17:56:48.668Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/TeamService.class]
2025-11-19T17:56:48.669Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/ReportDataService.class]
2025-11-19T17:56:48.670Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/LegalProcessService.class]
2025-11-19T17:56:48.671Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/ExcelExportService.class]
2025-11-19T17:56:48.671Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/BoletoService.class]
2025-11-19T17:56:48.671Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/UserAccountService.class]
2025-11-19T17:56:48.672Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/VistoriaService.class]
2025-11-19T17:56:48.673Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/ComunicadoService.class]
2025-11-19T17:56:48.673Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/AgreementService.class]
2025-11-19T17:56:48.674Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/PaymentService.class]
2025-11-19T17:56:48.674Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/DashboardService.class]
2025-11-19T17:56:48.674Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/BillToPayService.class]
2025-11-19T17:56:48.675Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/FipeService.class]
2025-11-19T17:56:48.676Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/EventService.class]
2025-11-19T17:56:48.676Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/FiscalDocumentService.class]
2025-11-19T17:56:48.676Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/PartnerService.class]
2025-11-19T17:56:48.677Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/EventObservationHistoryService.class]
2025-11-19T17:56:48.677Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/service/FileStorageService.class]
2025-11-19T17:56:48.756Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/VehicleRepository.class]
2025-11-19T17:56:48.758Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/NotificationRepository.class]
2025-11-19T17:56:48.758Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/DemandRepository.class]
2025-11-19T17:56:48.759Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/AgreementRepository.class]
2025-11-19T17:56:48.759Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/EventRepository.class]
2025-11-19T17:56:48.759Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/BillToPayRepository.class]
2025-11-19T17:56:48.760Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/EventObservationHistoryRepository.class]
2025-11-19T17:56:48.760Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/AddressRepository.class]
2025-11-19T17:56:48.760Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/ComunicadoRepository.class]
2025-11-19T17:56:48.761Z DEBUG 4419 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: URL [jar:file:/app/sub/target/sub-0.0.1-SNAPSHOT.jar!/BOOT-INF/classes!/com/necsus/necsusspring/repository/TeamRepository.class]
